,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
1553,1553,879,Newcastle United,Premier League,Chancel Mbemba,20,Centre Back,10.8,2015,Before2016,RSC Anderlecht,Other,D,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,DR Congo,83.0,72.0,5.9696,63.0,6.0,75to84,65to74,6to6.5,50to150,below20,AF
1555,1555,946,Wolverhampton Wanderers,Premier League,Benik Afobe,25,Centre Forward,10.26,2018,After2016,AFC Bournemouth,Premier League,F,Tier_2,Tier_2,U25,Under30,40Mto10M,20Mto5M,DR Congo,77.0,74.0,6.0024,199.0,51.0,75to84,65to74,6to6.5,150to300,50to100,AF
1557,1557,1556,West Ham United,Premier League,Arthur Masuaku,22,Left Back,6.39,2016,After2016,Olympiacos,Other,D,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,DR Congo,78.12781955,70.90105720000001,5.8712,78.0,2.0,75to84,65to74,5.5to6,50to150,below20,AF
1560,1560,1574,VfL Wolfsburg,1 Bundesliga,Marcel Tisserand,25,Centre Back,6.3,2018,After2016,FC Ingolstadt 04,1 Bundesliga,D,Tier_1,Tier_4,U25,Under30,10Mto5M,20Mto5M,DR Congo,80.0,73.0,6.068,144.0,6.0,75to84,65to74,6to6.5,50to150,below20,AF
1561,1561,228,Everton FC,Premier League,Yannick Bolasie,27,Left Winger,26.01,2016,After2016,Crystal Palace,Premier League,F,Tier_1,Tier_2,U30,Under30,40Mto10M,60Mto20M,DR Congo,78.0,75.0,6.1664,285.0,30.0,75to84,75to84,6to6.5,150to300,20to50,AF
1562,1562,1774,VfB Stuttgart,1 Bundesliga,Chadrac Akolo,22,Right Winger,5.4,2017,After2016,FC Sion,Other,F,Tier_2,Tier_4,U25,Under23,10Mto5M,20Mto5M,DR Congo,81.0,70.90105720000001,5.981024551,58.0,18.0,75to84,65to74,6to6.5,50to150,below20,AF
1566,1566,473,Manchester United,Premier League,Antonio Valencia,23,Right Back,17.01,2009,Before2016,Wigan Athletic,Premier League,D,Tier_1,Tier_3,U25,Under23,40Mto10M,20Mto5M,Ecuador,78.12781955,70.90105720000001,5.915152,182.0,19.0,75to84,65to74,6to6.5,150to300,below20,SA
1567,1567,1406,Dinamo Moscow,Other,Christian Noboa,26,Central Midfield,7.2,2011,Before2016,Rubin Kazan,Other,M,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,Ecuador,81.0,70.0,6.0024,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
1571,1571,1519,Lokomotiv Moscow,Other,Felipe Caicedo,22,Centre Forward,6.75,2011,Before2016,Levante UD,Primera Division,F,Tier_2,Tier_3,U25,Under23,10Mto5M,20Mto5M,Ecuador,81.0,74.0,6.068,71.0,15.0,75to84,65to74,6to6.5,50to150,below20,SA
1578,1578,656,West Ham United,Premier League,Enner Valencia,24,Centre Forward,13.5,2014,Before2016,CF Pachuca,Other,F,Tier_1,Tier_4,U25,Under30,40Mto10M,20Mto5M,Ecuador,71.0,70.90105720000001,5.981024551,153.0,45.0,65to74,65to74,6to6.5,150to300,20to50,SA
1591,1591,563,Chelsea FC,Premier League,Mohamed Salah,21,Right Winger,14.85,2013,Before2016,FC Basel,Other,F,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Egypt,82.0,70.90105720000001,5.74,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,AF
1592,1592,691,AS Roma,Serie A,Mohamed Salah,24,Right Winger,13.5,2016,After2016,Chelsea FC,Premier League,F,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,Egypt,85.0,77.0,5.74,98.0,22.0,85above,75to84,5.5to6,50to150,20to50,AF
1593,1593,79,Liverpool FC,Premier League,Mohamed Salah,25,Right Winger,37.8,2017,After2016,AS Roma,Serie A,F,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,Egypt,85.0,80.0,5.74,179.0,57.0,85above,75to84,5.5to6,150to300,50to100,AF
1596,1596,829,Arsenal FC,Premier League,Mohamed Elneny,23,Defensive Midfield,11.25,2015,Before2016,FC Basel,Other,M,Tier_1,Tier_4,U25,Under23,40Mto10M,20Mto5M,Egypt,80.0,63.0,5.904,136.1753754,20.22582583,75to84,below65,6to6.5,50to150,20to50,AF
1600,1600,1722,Huddersfield Town,Premier League,Ramadan Sobhi,21,Left Winger,5.85,2018,After2016,Stoke City,Premier League,F,Tier_3,Tier_2,U21,Under23,10Mto5M,20Mto5M,Egypt,82.0,73.0,6.0024,96.0,31.0,75to84,65to74,6to6.5,50to150,20to50,AF
1601,1601,1100,Aston Villa,Premier League,Trezeguet,24,Left Winger,9.0,2019,After2016,Kasimpasa,Other,F,Tier_1,Tier_4,U25,Under30,10Mto5M,20Mto5M,Egypt,80.0,74.0,5.904,157.0,36.0,75to84,65to74,6to6.5,150to300,20to50,AF
1608,1608,1689,Sunderland AFC,Premier League,Craig Gardner,24,Central Midfield,5.94,2011,Before2016,Birmingham City,Premier League,M,Tier_2,Tier_3,U25,Under30,10Mto5M,20Mto5M,England,79.0,72.0,5.831840000000001,101.0,14.0,75to84,65to74,5.5to6,50to150,below20,EU
1609,1609,740,Manchester City,Premier League,Gareth Barry,28,Defensive Midfield,12.51,2009,Before2016,Aston Villa,Premier League,M,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,England,85.0,82.0,6.068,365.0,41.0,85above,75to84,6to6.5,300above,20to50,EU
1613,1613,1021,Tottenham Hotspur,Premier League,Peter Crouch,28,Centre Forward,9.45,2009,Before2016,Portsmouth FC,Premier League,F,Tier_1,Tier_4,U30,Under30,10Mto5M,20Mto5M,England,80.0,75.0,6.5816479999999995,295.0,87.0,75to84,75to84,6.5above,150to300,50to100,EU
1614,1614,950,Stoke City,Premier League,Peter Crouch,30,Centre Forward,10.17,2011,Before2016,Tottenham Hotspur,Premier League,F,Tier_2,Tier_1,U30,Under30,40Mto10M,20Mto5M,England,81.0,79.0,6.5816479999999995,368.0,99.0,75to84,75to84,6.5above,300above,50to100,EU
1615,1615,391,Liverpool FC,Premier League,Glen Johnson,24,Right Back,18.45,2009,Before2016,Portsmouth FC,Premier League,D,Tier_1,Tier_4,U25,Under30,40Mto10M,20Mto5M,England,81.0,74.0,5.9696,148.0,7.0,75to84,65to74,6to6.5,50to150,below20,EU
1616,1616,927,Sunderland AFC,Premier League,Darren Bent,25,Centre Forward,10.62,2009,Before2016,Tottenham Hotspur,Premier League,F,Tier_2,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,85.0,85.0,5.904,250.0,97.0,85above,85above,6to6.5,150to300,50to100,EU
1617,1617,372,Aston Villa,Premier League,Darren Bent,26,Centre Forward,19.35,2010,Before2016,Sunderland AFC,Premier League,F,Tier_1,Tier_2,U30,Under30,40Mto10M,20Mto5M,England,83.0,79.0,5.904,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,EU
1620,1620,244,Manchester City,Premier League,Joleon Lescott,27,Centre Back,24.75,2009,Before2016,Everton FC,Premier League,D,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,England,78.12781955,70.90105720000001,6.1664,325.0,27.0,75to84,65to74,6to6.5,300above,20to50,EU
1622,1622,938,Manchester City,Premier League,Fabian Delph,25,Central Midfield,10.35,2015,Before2016,Aston Villa,Premier League,M,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,80.0,74.0,5.7072,156.0,9.0,75to84,65to74,5.5to6,150to300,below20,EU
1623,1623,1165,Everton FC,Premier League,Fabian Delph,29,Central Midfield,8.55,2019,After2016,Manchester City,Premier League,M,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,78.0,79.0,5.7072,218.0,13.0,75to84,75to84,5.5to6,150to300,below20,EU
1624,1624,1547,Chelsea FC,Premier League,Daniel Sturridge,19,Centre Forward,6.53,2009,Before2016,Manchester City,Premier League,F,Tier_1,Tier_1,U21,Under23,10Mto5M,20Mto5M,England,78.0,64.0,6.1664,21.0,5.0,75to84,below65,6to6.5,below50,below20,EU
1625,1625,650,Liverpool FC,Premier League,Daniel Sturridge,23,Centre Forward,13.5,2012,Before2016,Chelsea FC,Premier League,F,Tier_1,Tier_1,U25,Under23,40Mto10M,20Mto5M,England,84.0,76.0,6.1664,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,EU
1626,1626,1901,Tottenham Hotspur,Premier League,Kyle Naughton,20,Right Back,5.31,2009,Before2016,Sheffield United,Premier League,D,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,England,76.0,70.90105720000001,5.904,40.0,1.0,75to84,65to74,6to6.5,below50,below20,EU
1627,1627,1690,Swansea City,Premier League,Kyle Naughton,26,Right Back,5.94,2014,Before2016,Tottenham Hotspur,Premier League,D,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,77.0,73.0,5.904,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1628,1628,1903,Tottenham Hotspur,Premier League,Kyle Walker,19,Right Back,5.31,2009,Before2016,Sheffield United,Premier League,D,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,England,71.0,70.90105720000001,5.8384,2.0,0.0,65to74,65to74,5.5to6,below50,below20,EU
1629,1629,53,Manchester City,Premier League,Kyle Walker,27,Right Back,47.43,2017,After2016,Tottenham Hotspur,Premier League,D,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,England,83.0,79.0,5.8384,194.0,4.0,75to84,75to84,5.5to6,150to300,below20,EU
1632,1632,1904,Birmingham City,Premier League,Roger Johnson,26,Centre Back,5.31,2009,Before2016,Cardiff City,Premier League,D,Tier_3,Tier_3,U30,Under30,10Mto5M,20Mto5M,England,68.0,61.0,6.2484,276.0,31.0,65to74,below65,6to6.5,150to300,20to50,EU
1633,1633,1388,Wolverhampton Wanderers,Premier League,Roger Johnson,28,Centre Back,7.2,2011,Before2016,Birmingham City,Premier League,D,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,England,79.0,72.0,6.2484,352.0,33.0,75to84,65to74,6to6.5,300above,20to50,EU
1635,1635,788,Aston Villa,Premier League,Stewart Downing,24,Left Midfield,11.7,2009,Before2016,Middlesbrough FC,Premier League,F,Tier_1,Tier_3,U25,Under30,40Mto10M,20Mto5M,England,83.0,82.0,5.904,181.0,17.0,75to84,75to84,6to6.5,150to300,below20,EU
1636,1636,335,Liverpool FC,Premier League,Stewart Downing,26,Left Midfield,20.52,2011,Before2016,Aston Villa,Premier League,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,England,85.0,80.0,5.904,251.0,29.0,85above,75to84,6to6.5,150to300,20to50,EU
1637,1637,1916,West Ham United,Premier League,Stewart Downing,29,Left Midfield,5.22,2013,Before2016,Liverpool FC,Premier League,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,78.0,82.0,5.904,316.0,32.0,75to84,75to84,6to6.5,300above,20to50,EU
1638,1638,1385,Manchester City,Premier League,Adam Johnson,22,Right Winger,7.2,2009,Before2016,Middlesbrough FC,Premier League,F,Tier_1,Tier_3,U25,Under23,10Mto5M,20Mto5M,England,76.0,66.0,5.74,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,EU
1639,1639,814,Sunderland AFC,Premier League,Adam Johnson,25,Right Winger,11.34,2012,Before2016,Manchester City,Premier League,F,Tier_2,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,85.0,81.0,5.74,136.1753754,20.22582583,85above,75to84,5.5to6,50to150,20to50,EU
1640,1640,1599,Sunderland AFC,Premier League,Lee Cattermole,21,Defensive Midfield,6.3,2009,Before2016,Wigan Athletic,Premier League,M,Tier_2,Tier_3,U21,Under23,10Mto5M,20Mto5M,England,78.0,71.0,5.8384,102.0,4.0,75to84,65to74,5.5to6,50to150,below20,EU
1643,1643,750,Sunderland AFC,Premier League,Michael Turner,25,Centre Back,12.24,2009,Before2016,Hull City,Premier League,D,Tier_2,Tier_2,U25,Under30,40Mto10M,20Mto5M,England,71.0,66.0,6.3317120000000005,227.0,16.0,65to74,65to74,6to6.5,150to300,below20,EU
1646,1646,1674,Blackburn Rovers,Premier League,Scott Dann,24,Centre Back,6.12,2011,Before2016,Birmingham City,Premier League,D,Tier_3,Tier_3,U25,Under30,10Mto5M,20Mto5M,England,83.0,69.0,6.1664,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1649,1649,1219,Aston Villa,Premier League,Stephen Warnock,27,Left Back,8.1,2009,Before2016,Blackburn Rovers,Premier League,D,Tier_1,Tier_3,U30,Under30,10Mto5M,20Mto5M,England,83.0,73.0,5.581904,184.0,10.0,75to84,65to74,5.5to6,150to300,below20,EU
1650,1650,1602,Birmingham City,Premier League,Ben Foster,27,Goalkeeper,6.3,2010,Before2016,Manchester United,Premier League,GK,Tier_3,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,84.0,74.0,6.3317120000000005,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1657,1657,352,Manchester City,Premier League,James Milner,24,Central Midfield,19.8,2010,Before2016,Aston Villa,Premier League,M,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,84.0,80.0,5.74,248.0,25.0,75to84,75to84,5.5to6,150to300,20to50,EU
1658,1658,83,Liverpool FC,Premier League,Andy Carroll,22,Centre Forward,36.9,2010,Before2016,Newcastle United,Premier League,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,England,78.12781955,70.90105720000001,6.3304,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1659,1659,526,West Ham United,Premier League,Andy Carroll,24,Centre Forward,15.75,2013,Before2016,Liverpool FC,Premier League,F,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,82.0,78.0,6.3304,135.0,38.0,75to84,75to84,6to6.5,50to150,20to50,EU
1661,1661,1386,Manchester United,Premier League,Chris Smalling,20,Centre Back,7.2,2010,Before2016,Fulham FC,Premier League,D,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,England,77.0,60.0,6.3632,24.0,1.0,75to84,below65,6to6.5,below50,below20,EU
1664,1664,1906,Swansea City,Premier League,Jonjo Shelvey,21,Central Midfield,5.31,2013,Before2016,Liverpool FC,Premier League,M,Tier_2,Tier_1,U21,Under23,10Mto5M,20Mto5M,England,82.0,71.0,6.0352,89.0,9.0,75to84,65to74,6to6.5,50to150,below20,EU
1665,1665,585,Newcastle United,Premier League,Jonjo Shelvey,23,Central Midfield,14.4,2015,Before2016,Swansea City,Premier League,M,Tier_1,Tier_2,U25,Under23,40Mto10M,20Mto5M,England,80.0,74.0,6.0352,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1674,1674,1830,Watford FC,Premier League,Craig Dawson,29,Centre Back,5.4,2019,After2016,West Bromwich Albion,Premier League,D,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,England,75.0,75.0,6.165088,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,EU
1676,1676,1915,Sunderland AFC,Premier League,Danny Graham,27,Centre Forward,5.22,2012,Before2016,Swansea City,Premier League,F,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,England,78.0,66.0,6.0024,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1680,1680,488,Manchester United,Premier League,Ashley Young,25,Left Back,16.2,2011,Before2016,Aston Villa,Premier League,D,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,87.0,84.0,5.74,255.0,49.0,85above,75to84,5.5to6,150to300,20to50,EU
1684,1684,489,Liverpool FC,Premier League,Jordan Henderson,21,Central Midfield,16.2,2011,Before2016,Sunderland AFC,Premier League,M,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,England,81.0,65.0,5.9696,71.0,4.0,75to84,65to74,6to6.5,50to150,below20,EU
1688,1688,1914,Queens Park Rangers,Premier League,Bobby Zamora,31,Centre Forward,5.22,2011,Before2016,Fulham FC,Premier League,F,Tier_2,Tier_2,A30,Above30,10Mto5M,20Mto5M,England,82.0,73.0,5.998464,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1693,1693,744,Arsenal FC,Premier League,Alex Oxlade-Chamberlain,17,Central Midfield,12.42,2011,Before2016,Southampton FC,Premier League,M,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,England,70.0,70.90105720000001,5.904,36.0,9.0,65to74,65to74,6to6.5,below50,below20,EU
1694,1694,114,Liverpool FC,Premier League,Alex Oxlade-Chamberlain,24,Central Midfield,34.2,2017,After2016,Arsenal FC,Premier League,M,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,England,85.0,78.0,5.904,168.0,18.0,85above,75to84,6to6.5,150to300,below20,EU
1695,1695,1754,Tottenham Hotspur,Premier League,Scott Parker,30,Central Midfield,5.58,2011,Before2016,West Ham United,Premier League,M,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,81.0,79.0,5.581904,317.0,25.0,75to84,75to84,5.5to6,300above,20to50,EU
1698,1698,1325,Chelsea FC,Premier League,Gary Cahill,26,Centre Back,7.56,2011,Before2016,Bolton Wanderers,Premier League,D,Tier_1,Tier_3,U30,Under30,10Mto5M,20Mto5M,England,85.0,78.0,6.3304,136.1753754,20.22582583,85above,75to84,6to6.5,50to150,20to50,EU
1701,1701,1669,Middlesbrough FC,Premier League,Patrick Bamford,23,Centre Forward,6.21,2016,After2016,Chelsea FC,Premier League,F,Tier_3,Tier_1,U25,Under23,10Mto5M,20Mto5M,England,77.0,65.0,6.068,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1708,1708,454,Manchester United,Premier League,Phil Jones,19,Centre Back,17.37,2011,Before2016,Blackburn Rovers,Premier League,D,Tier_1,Tier_3,U21,Under23,40Mto10M,20Mto5M,England,86.0,58.0,5.904,35.0,0.0,85above,below65,6to6.5,below50,below20,EU
1709,1709,1221,Sunderland AFC,Premier League,Connor Wickham,18,Centre Forward,8.1,2011,Before2016,Ipswich,Other,F,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,England,83.0,70.90105720000001,6.2648,65.0,13.0,75to84,65to74,6to6.5,50to150,below20,EU
1710,1710,1093,Crystal Palace,Premier League,Connor Wickham,22,Centre Forward,9.0,2015,Before2016,Sunderland AFC,Premier League,F,Tier_2,Tier_2,U25,Under23,10Mto5M,20Mto5M,England,77.0,72.0,6.2648,139.0,24.0,75to84,65to74,6to6.5,50to150,20to50,EU
1718,1718,1473,Manchester City,Premier League,Scott Sinclair,23,Left Midfield,7.02,2012,Before2016,Swansea City,Premier League,F,Tier_1,Tier_2,U25,Under23,10Mto5M,20Mto5M,England,84.0,72.0,5.6744,154.0,34.0,75to84,65to74,5.5to6,150to300,20to50,EU
1720,1720,1285,Southampton FC,Premier League,Jay Rodríguez,22,Centre Forward,7.79,2012,Before2016,Burnley FC,Premier League,F,Tier_1,Tier_2,U25,Under23,10Mto5M,20Mto5M,England,78.12781955,70.90105720000001,6.0817760000000005,105.0,31.0,75to84,65to74,6to6.5,50to150,20to50,EU
1721,1721,747,West Bromwich Albion,Premier League,Jay Rodríguez,27,Centre Forward,12.33,2017,After2016,Southampton FC,Premier League,F,Tier_2,Tier_1,U30,Under30,40Mto10M,20Mto5M,England,78.12781955,70.90105720000001,6.0817760000000005,226.0,61.0,75to84,65to74,6to6.5,150to300,50to100,EU
1722,1722,1941,Burnley FC,Premier League,Jay Rodríguez,29,Centre Forward,5.0,2019,After2016,West Bromwich Albion,Premier League,F,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,England,78.12781955,70.90105720000001,6.0817760000000005,308.0,90.0,75to84,65to74,6to6.5,300above,50to100,EU
1723,1723,651,Manchester City,Premier League,Jack Rodwell,21,Defensive Midfield,13.5,2012,Before2016,Everton FC,Premier League,M,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,England,85.0,77.0,6.1664,85.0,4.0,85above,75to84,6to6.5,50to150,below20,EU
1724,1724,816,Sunderland AFC,Premier League,Jack Rodwell,23,Defensive Midfield,11.34,2014,Before2016,Manchester City,Premier League,M,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,England,82.0,77.0,6.1664,101.0,6.0,75to84,75to84,6to6.5,50to150,below20,EU
1729,1729,50,Manchester City,Premier League,John Stones,22,Centre Back,50.04,2016,After2016,Everton FC,Premier League,D,Tier_1,Tier_1,U25,Under23,80Mto40M,60Mto20M,England,87.0,75.0,6.1664,101.0,1.0,85above,75to84,6to6.5,50to150,below20,EU
1732,1732,931,Manchester United,Premier League,Wilfried Zaha,20,Right Winger,10.58,2012,Before2016,Crystal Palace,Premier League,F,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,England,81.0,62.0,5.904,136.1753754,20.22582583,75to84,below65,6to6.5,50to150,20to50,EU
1735,1735,523,Liverpool FC,Premier League,Nathaniel Clyne,24,Right Back,15.93,2015,Before2016,Southampton FC,Premier League,D,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,England,80.0,74.0,5.748528,216.0,4.0,75to84,65to74,5.5to6,150to300,below20,EU
1739,1739,1918,Burnley FC,Premier League,Ashley Westwood,26,Defensive Midfield,5.22,2016,After2016,Aston Villa,Premier League,M,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,76.0,72.0,5.748528,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,EU
1740,1740,1510,Manchester United,Premier League,Nick Powell,18,Attacking Midfield,6.75,2012,Before2016,Crewe Alexandra,Other,M,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,England,81.0,70.90105720000001,6.0024,55.0,14.0,75to84,65to74,6to6.5,50to150,below20,EU
1743,1743,1161,West Ham United,Premier League,Matt Jarvis,26,Left Winger,8.55,2012,Before2016,Wolverhampton Wanderers,Premier League,F,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,England,79.0,70.90105720000001,5.665216,274.0,31.0,75to84,65to74,5.5to6,150to300,20to50,EU
1745,1745,1917,Hull City,Premier League,Tom Huddlestone,26,Defensive Midfield,5.22,2013,Before2016,Tottenham Hotspur,Premier League,M,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,England,80.0,79.0,6.1664,232.0,8.0,75to84,75to84,6to6.5,150to300,below20,EU
1746,1746,1189,Cardiff City,Premier League,Steven Caulker,21,Centre Back,8.24,2013,Before2016,Tottenham Hotspur,Premier League,D,Tier_3,Tier_1,U21,Under23,10Mto5M,20Mto5M,England,82.0,70.0,6.2484,18.0,2.0,75to84,65to74,6to6.5,below50,below20,EU
1747,1747,1007,Queens Park Rangers,Premier League,Steven Caulker,22,Centre Back,9.68,2014,Before2016,Cardiff City,Premier League,D,Tier_2,Tier_3,U25,Under23,10Mto5M,20Mto5M,England,82.0,75.0,6.2484,155.0,9.0,75to84,75to84,6to6.5,150to300,below20,EU
1749,1749,1748,Norwich City,Premier League,Gary Hooper,25,Centre Forward,5.67,2013,Before2016,Celtic,Other,F,Tier_3,Tier_4,U25,Under30,10Mto5M,20Mto5M,England,82.0,76.0,5.74,299.0,141.0,75to84,75to84,5.5to6,150to300,100above,EU
1753,1753,760,Southampton FC,Premier League,Nathan Redmond,22,Left Winger,12.15,2016,After2016,Norwich City,Premier League,F,Tier_1,Tier_3,U25,Under23,40Mto10M,20Mto5M,England,82.0,73.0,5.6744,174.0,18.0,75to84,65to74,5.5to6,150to300,below20,EU
1759,1759,414,Arsenal FC,Premier League,Danny Welbeck,23,Centre Forward,18.0,2014,Before2016,Manchester United,Premier League,F,Tier_1,Tier_1,U25,Under23,40Mto10M,20Mto5M,England,83.0,79.0,6.068,92.0,20.0,75to84,75to84,6to6.5,50to150,20to50,EU
1761,1761,230,Everton FC,Premier League,Michael Keane,24,Centre Back,25.65,2017,After2016,Burnley FC,Premier League,D,Tier_1,Tier_2,U25,Under30,40Mto10M,60Mto20M,England,86.0,72.0,6.2648,143.0,12.0,85above,65to74,6to6.5,50to150,below20,EU
1763,1763,1609,Hull City,Premier League,Jake Livermore,24,Defensive Midfield,6.3,2014,Before2016,Tottenham Hotspur,Premier League,M,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,England,79.0,74.0,5.9368,36.0,0.0,75to84,65to74,6to6.5,below50,below20,EU
1764,1764,939,West Bromwich Albion,Premier League,Jake Livermore,27,Defensive Midfield,10.35,2016,After2016,Hull City,Premier League,M,Tier_2,Tier_2,U30,Under30,40Mto10M,20Mto5M,England,75.0,73.0,5.9368,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
1765,1765,1685,Tottenham Hotspur,Premier League,Dele Alli,18,Attacking Midfield,5.97,2014,Before2016,MK Dons,Other,M,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,England,76.0,53.0,6.1664,136.1753754,20.22582583,75to84,below65,6to6.5,50to150,20to50,EU
1767,1767,748,Leicester City,Premier League,Harry Maguire,24,Centre Back,12.33,2017,After2016,Hull City,Premier League,D,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,England,82.0,70.0,6.3632,188.0,11.0,75to84,65to74,6to6.5,150to300,below20,EU
1768,1768,14,Manchester United,Premier League,Harry Maguire,26,Centre Back,78.3,2019,After2016,Leicester City,Premier League,D,Tier_1,Tier_1,U30,Under30,80Mto40M,Above60M,England,85.0,79.0,6.3632,273.0,17.0,85above,75to84,6to6.5,150to300,below20,EU
1769,1769,394,Arsenal FC,Premier League,Calum Chambers,19,Centre Back,18.21,2014,Before2016,Southampton FC,Premier League,D,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,England,83.0,60.0,5.9696,22.0,0.0,75to84,below65,6to6.5,below50,below20,EU
1772,1772,183,Liverpool FC,Premier League,Adam Lallana,26,Attacking Midfield,27.9,2014,Before2016,Southampton FC,Premier League,M,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,England,83.0,77.0,5.6416,235.0,48.0,75to84,75to84,5.5to6,150to300,20to50,EU
1773,1773,123,Manchester United,Premier League,Luke Shaw,18,Left Back,33.75,2014,Before2016,Southampton FC,Premier League,D,Tier_1,Tier_1,U21,Under23,40Mto10M,60Mto20M,England,86.0,70.0,6.068,60.0,0.0,85above,65to74,6to6.5,50to150,below20,EU
1775,1775,1190,Burnley FC,Premier League,Jack Cork,28,Defensive Midfield,8.19,2017,After2016,Swansea City,Premier League,M,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,England,79.0,77.0,6.0024,349.0,10.0,75to84,75to84,6to6.5,300above,below20,EU
1781,1781,1488,Queens Park Rangers,Premier League,Jordon Mutch,22,Central Midfield,6.81,2014,Before2016,Cardiff City,Premier League,M,Tier_2,Tier_3,U25,Under23,10Mto5M,20Mto5M,England,77.0,70.0,6.165088,124.0,16.0,75to84,65to74,6to6.5,50to150,below20,EU
1782,1782,1746,Crystal Palace,Premier League,Jordon Mutch,23,Central Midfield,5.71,2014,Before2016,Queens Park Rangers,Premier League,M,Tier_2,Tier_2,U25,Under23,10Mto5M,20Mto5M,England,77.0,70.0,6.165088,124.0,16.0,75to84,65to74,6to6.5,50to150,below20,EU
