,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
51,51,598,AC Milan,Serie A,Ismaël Bennacer,21,Defensive Midfield,14.4,2019,After2016,FC Empoli,Serie A,M,Tier_1,Tier_3,U21,Under23,40Mto10M,20Mto5M,Algeria,83.0,70.0,5.74,114.0,3.0,75to84,65to74,5.5to6,50to150,below20,AF
65,65,227,Manchester City,Premier League,Carlos Tévez,25,Second Striker,26.1,2009,Before2016,West Ham United,Premier League,F,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,Argentina,90.0,70.90105720000001,5.6744,202.0,77.0,85above,65to74,5.5to6,150to300,50to100,SA
66,66,1248,Juventus FC,Serie A,Carlos Tévez,29,Second Striker,8.1,2013,Before2016,Manchester City,Premier League,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,86.0,86.0,5.6744,315.0,135.0,85above,85above,5.5to6,300above,100above,SA
69,69,1647,SSC Napoli,Serie A,Hugo Campagnaro,29,Centre Back,6.3,2009,Before2016,UC Sampdoria,Serie A,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.9368,268.0,17.0,75to84,65to74,6to6.5,150to300,below20,SA
70,70,300,FC Internazionale,Serie A,Diego Milito,30,Centre Forward,22.5,2009,Before2016,Genoa CFC,Serie A,F,Tier_2,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,78.12781955,70.90105720000001,6.0024,335.0,144.0,75to84,65to74,6to6.5,300above,100above,SA
71,71,1752,AS Saint-Étienne,Ligue 1,Gonzalo Bergessio,25,Centre Forward,5.58,2009,Before2016,San Lorenzo,Other,F,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.8384,217.0,69.0,75to84,65to74,5.5to6,150to300,50to100,SA
74,74,459,Olympique Marseille,Ligue 1,Lucho González,28,Central Midfield,17.1,2009,Before2016,FC Porto,Other,M,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Argentina,78.12781955,70.90105720000001,6.068,303.0,61.0,75to84,65to74,6to6.5,300above,50to100,SA
75,75,315,Olympique Lyon,Ligue 1,Lisandro López,26,Centre Forward,21.6,2009,Before2016,FC Porto,Other,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,85.0,80.0,5.7072,177.0,74.0,85above,75to84,5.5to6,150to300,50to100,SA
79,79,1036,FC Internazionale,Serie A,Rodrigo Palacio,30,Centre Forward,9.45,2012,Before2016,Genoa CFC,Serie A,F,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,81.0,78.0,5.7728,310.0,113.0,75to84,75to84,5.5to6,300above,100above,SA
81,81,1646,US Palermo,Serie A,Javier Pastore,20,Attacking Midfield,6.3,2009,Before2016,Huracán,Other,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,6.1336,36.0,8.0,75to84,65to74,6to6.5,below50,below20,SA
82,82,76,Paris Saint-Germain,Ligue 1,Javier Pastore,22,Attacking Midfield,37.8,2011,Before2016,US Palermo,Serie A,M,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,Argentina,88.0,76.0,6.1336,105.0,22.0,85above,75to84,6to6.5,50to150,20to50,SA
83,83,308,AS Roma,Serie A,Javier Pastore,29,Attacking Midfield,22.23,2018,After2016,Paris Saint-Germain,Ligue 1,M,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,83.0,83.0,6.1336,291.0,51.0,75to84,75to84,6to6.5,150to300,50to100,SA
85,85,1420,Atlético Madrid,Primera Division,Eduardo Salvio,19,Right Winger,7.2,2009,Before2016,Lanús,Other,F,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.6416,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,SA
