Beds,Baths,Rent,neighbourhood,latitude,longitude,Type,Zest,ROI,Neigh,BPB,latlng
2,1,150.0,Sunnyvale,37.364259999999994,-122.02193,Condominium,2062179.0,-0.9870617407148471,Neigh_North,3,-4559.259118221799
3,1,175.0,Cupertino,37.32075,-122.03397,Condominium,3520829.0,-0.991158945513458,Neigh_South,4,-4554.399285877499
2,1,143.0,Sunnyvale,37.35487,-122.00111000000001,Townhouse,1092483.0,-0.9767173558276646,Neigh_North,3,-4557.3356039057
3,2,271.0,Sunnyvale,37.40144,-122.0129,Townhouse,1486380.0,-0.9675697431025637,Neigh_North,5,-4563.458158576
1,1,175.0,Palo Alto,37.44614,-122.1681,Condominium,3598893.0,-0.9913507178382917,Neigh_North,2,-4574.723776134
2,1,115.0,Santa Clara,37.36936,-121.97445,Condominium,632889.0,-0.9676792638376746,Neigh_North,3,-4558.107132852
2,2,239.0,Palo Alto,37.42173,-122.13515,Condominium,2605097.0,-0.9836813227400976,Neigh_North,4,-4570.5086068095
2,2,172.0,San Jose,37.257059999999996,-121.84051000000001,Townhouse,716181.0,-0.9572814401737704,Neigh_South,4,-4539.4191915005995
3,2,189.0,Santa Clara,37.32743,-121.97891000000001,Townhouse,1801861.0,-0.9813425850779053,Neigh_North,5,-4553.159224501301
2,1,128.0,Sunnyvale,37.363009999999996,-122.03121000000002,Townhouse,1299637.0,-0.9824814218940475,Neigh_North,3,-4559.4533195421
1,1,158.0,San Jose,37.311859999999996,-121.95148,Condominium,1975192.0,-0.9857715130413827,Neigh_South,2,-4550.2365485528
2,2,189.0,Milpitas,37.40896,-121.89936999999999,Townhouse,920963.0,-0.9634968306990177,Neigh_North,4,-4560.128656355199
2,1,150.0,San Jose,37.41261,-121.8542,Condominium,645669.0,-0.9586769589458417,Neigh_South,3,-4558.883661462
3,2,220.0,Sunnyvale,37.39397,-121.99758,Condominium,1621804.0,-0.975871225496351,Neigh_North,5,-4561.9738465926
3,2,280.0,Milpitas,37.45358,-121.90902,Condominium,1228829.0,-0.959469913516954,Neigh_North,5,-4565.9292332916
1,1,150.0,San Jose,37.3628,-121.91367,Condominium,591988.0,-0.9549298185192988,Neigh_South,2,-4555.036069476
2,2,250.0,Palo Alto,37.44382,-122.15281999999999,Townhouse,4859421.0,-0.9908490447063558,Neigh_North,4,-4573.8682045724
2,2,150.0,San Jose,37.41437,-121.95855,Condominium,1524803.0,-0.9825019975731965,Neigh_South,4,-4563.0023143635
2,2,232.0,San Jose,37.30058,-121.93076,Townhouse,800723.0,-0.9484632968796102,Neigh_South,4,-4548.0880678408
2,2,78.0,San Jose,37.273540000000004,-121.84385,Townhouse,1226551.0,-0.9886885066914571,Neigh_South,4,-4541.551616729001
2,1,122.0,Santa Clara,37.36825,-121.97535,Condominium,1969408.0,-0.9889811801159993,Neigh_North,3,-4558.005372637501
3,2,255.0,San Jose,37.281690000000005,-121.85926,Condominium,798654.0,-0.9432073072814066,Neigh_South,5,-4543.119154949401
2,2,150.0,Santa Clara,37.34227,-121.97986000000002,Condominium,1444951.0,-0.9815350094263422,Neigh_North,4,-4555.0048666822
3,2,550.0,San Jose,37.317370000000004,-121.78764,Townhouse,998982.0,-0.9020699496960003,Neigh_South,5,-4544.7944233068
1,2,55.0,San Jose,37.27572,-121.84683999999999,Townhouse,888004.0,-0.9889831174732558,Neigh_South,3,-4541.9286907248
1,1,89.0,Mountain View,37.39865,-122.06385,Townhouse,1004729.0,-0.984243780582284,Neigh_North,2,-4565.023203802501
2,2,150.0,San Jose,37.282140000000005,-121.85803999999999,Townhouse,1033284.0,-0.9741784382663456,Neigh_South,4,-4543.1285074056
3,3,250.0,San Jose,37.30772,-121.91644,Townhouse,900506.0,-0.9506184919101088,Neigh_South,6,-4548.4244069168
2,2,275.0,San Jose,37.31392,-121.93997,Condominium,513454.0,-0.9047330846455669,Neigh_South,4,-4550.058285382401
3,2,148.0,Milpitas,37.40849,-121.90716,Townhouse,1050634.0,-0.9749434533435951,Neigh_North,5,-4560.3627757884005
1,1,209.0,San Jose,37.32248,-121.94771999999999,Condominium,631018.0,-0.9410864098094504,Neigh_South,2,-4551.391340745599
2,2,160.0,Santa Clara,37.33948,-121.98636,Condominium,1596609.0,-0.9821748841655301,Neigh_North,4,-4554.9072494928005
2,2,189.0,Palo Alto,37.42017,-122.10803,Condominium,3022675.0,-0.9888780407060168,Neigh_North,4,-4569.3032409651
2,1,165.0,San Jose,37.231809999999996,-121.9046,Townhouse,1464987.0,-0.9799663019167835,Neigh_South,3,-4538.728905325999
2,2,175.0,Palo Alto,37.45221,-122.15503000000001,Condominium,3705646.0,-0.9915998881094424,Neigh_North,4,-4574.9758361163
