,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age,transfer_price,potential_fifa,overall_fifa,new_height,appearances,goals,N
278,1 Bundesliga,After2016,Other,M,Tier_2,Tier_4,Under23,10Mto5M,75to84,65to74,5.5to6,below50,below20,SA
279,Other,After2016,Other,D,Tier_2,Tier_4,Under30,10Mto5M,75to84,65to74,5.5to6,150to300,20to50,SA
280,Serie A,After2016,Primera Division,D,Tier_1,Tier_1,Under30,40Mto10M,85above,75to84,6to6.5,150to300,below20,SA
281,1 Bundesliga,After2016,Other,F,Tier_1,Tier_4,Under30,40Mto10M,75to84,65to74,6to6.5,50to150,50to100,SA
282,Other,After2016,Other,F,Tier_1,Tier_4,Under23,40Mto10M,75to84,65to74,5.5to6,50to150,20to50,SA
284,Other,After2016,Other,F,Tier_2,Tier_4,Under23,40Mto10M,75to84,below65,5.5to6,below50,below20,SA
287,Other,After2016,Other,F,Tier_1,Tier_4,Under30,10Mto5M,75to84,65to74,6to6.5,50to150,20to50,SA
288,Primera Division,After2016,Other,M,Tier_1,Tier_4,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
292,Serie A,After2016,Other,F,Tier_1,Tier_4,Under23,40Mto10M,85above,65to74,5.5to6,below50,20to50,SA
295,1 Bundesliga,After2016,Other,F,Tier_2,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,below50,below20,SA
296,Premier League,After2016,Other,M,Tier_2,Tier_4,Under23,10Mto5M,75to84,65to74,5.5to6,50to150,20to50,SA
297,1 Bundesliga,After2016,Other,D,Tier_1,Tier_4,Under23,40Mto10M,75to84,65to74,6to6.5,50to150,20to50,SA
298,Other,After2016,Other,D,Tier_2,Tier_4,Under30,10Mto5M,75to84,65to74,6to6.5,50to150,20to50,SA
299,Primera Division,After2016,Other,M,Tier_1,Tier_4,Under23,10Mto5M,75to84,below65,5.5to6,below50,below20,SA
300,Serie A,After2016,Other,F,Tier_2,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,SA
302,Serie A,After2016,Serie A,D,Tier_1,Tier_1,Under23,40Mto10M,85above,below65,6to6.5,below50,below20,SA
308,Other,After2016,Other,D,Tier_3,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,SA
309,Ligue 1,After2016,Other,F,Tier_1,Tier_4,Under30,40Mto10M,75to84,75to84,5.5to6,150to300,50to100,SA
311,Serie A,After2016,Other,M,Tier_2,Tier_4,Under23,10Mto5M,75to84,below65,5.5to6,50to150,below20,SA
312,Primera Division,After2016,Other,F,Tier_3,Tier_4,Under23,10Mto5M,85above,65to74,5.5to6,50to150,below20,SA
313,Other,After2016,Other,GK,Tier_1,Tier_4,Above30,10Mto5M,75to84,75to84,6to6.5,300above,below20,SA
314,Other,After2016,Other,D,Tier_2,Tier_4,Under23,10Mto5M,85above,below65,5.5to6,below50,below20,SA
316,Other,Before2016,Other,F,Tier_2,Tier_3,Under30,10Mto5M,75to84,65to74,6to6.5,150to300,50to100,AS
318,Other,Before2016,Other,F,Tier_2,Tier_3,Under23,10Mto5M,75to84,65to74,5.5to6,50to150,below20,AS
321,1 Bundesliga,Before2016,Other,M,Tier_1,Tier_4,Under30,40Mto10M,75to84,65to74,5.5to6,150to300,50to100,AS
