,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
120,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","(4704.33,19715]","[60,135]","(2,28]",1.0,3,5,3,Apartment,Dorchester,Buttonwood Street
121,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","[2,3]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","(2,28]",1.0,4,5,5,Apartment,South End,Upton Street
122,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,4,5,5,Apartment,Back Bay,Saint Germain Street
123,"(9.92724,1270.48]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","(199,5555]","(2,28]",2.0,3,5,4,Apartment,Mission Hill,Delle Avenue
124,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(1,2]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,4,5,5,Apartment,Back Bay,Durham Street
125,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(2,8]","(5,20]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","[1,2]",2.5,3,5,5,Apartment,South End,Bond Street
126,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(2,8]","(5,20]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","(199,5555]","(2,28]",2.0,4,5,4,Apartment,South End,Worcester Square
127,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(1,2]","(3,5]","(33,52]","(3.70142,5.27273]","[898,2400.33]","(135,199]","[1,2]",2.0,3,5,5,Apartment,Beacon Hill,Mount Vernon Street
128,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","(2400.33,4704.33]","(135,199]","[1,2]",1.0,3,5,4,Apartment,East Boston,Chelsea Street
129,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","[60,135]","(28,353]",1.0,2,5,5,Condominium,Beacon Hill,Garden Street
130,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,4,5,5,Apartment,South End,Columbus Avenue
131,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","(1,2]","(3,5]","[12,30]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,4,3,Apartment,Dorchester,Parkman Street
132,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","[2,3]","(30,33]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,4,5,5,Apartment,South End,Columbus Avenue
133,"(9.92724,1270.48]","[165887,544583]","(1,2]","(2,8]","(3,5]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","[1,2]",1.0,3,4,4,Apartment,Charlestown,Brighton Street
134,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",3.0,3,5,2,Apartment,South Boston,M Street
135,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","(3,5]","(33,52]","(3.70142,5.27273]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Brimmer Street
136,"(-12.0209,9.92724]","(870941,1.14825e+07]","[0,1]","[0,1]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Revere Street
137,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,4,5,5,Apartment,South End,West Springfield Street
138,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(1,2]","(3,5]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,3,4,4,Apartment,Charlestown,Soley Street
139,"(9.92724,1270.48]","[165887,544583]","(1,2]","(2,8]","(3,5]","(33,52]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,1,4,4,Apartment,Roxbury,Crawford Street
140,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(3,5]","(30,33]","[2.75,3.47373]","[898,2400.33]","(135,199]","(28,353]",1.0,3,5,5,Apartment,Downtown,Winter Street
141,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,4,4,Apartment,Roxbury,Marcella Street
