player_name,height,nationality
Marc Bartra,1.84,Catalonia
Maximilian Wöber,1.88,Austria
Matías Vargas,1.68,Argentina
Sergio Floccari,1.82,
Rodrigo Palacio,1.76,Argentina
Dusan Basta,1.83,Serbia
Cristian Ansaldi,1.81,Argentina
Francesco Acerbi,1.93,Italy
Denis Vavro,1.9,Slovakia
Jordan Hugill,1.8288,
Leonardo Ulloa,1.88,
Marcus Berg,1.83,Sweden
Kevin-Prince Boateng,1.86,Ghana
Juan Bernat,1.72,Spain
Josip Drmic,1.84,Switzerland
Josip Brekalo,1.75,Croatia
Dayot Upamecano,1.86,France
Alphonso Davies,1.81,Canada
Omar Mascarell,1.8,Spain
Jean-Philippe Mateta,1.92,France
Robert Skov,1.85,Denmark
Timo Baumgartl,1.96,Germany
Juan Quintero,1.69,Colombia
Andreas Samaris,1.89,Greece
Marvin Martin,1.71,France
Bertrand Traoré,1.8,Burkina Faso
Pape Cheikh,1.8,Spain
Adama Diakhaby,1.84,France
Diafra Sakho,1.84,Senegal
Loïs Diony,1.83,
Antonio Barreca,1.83,Italy
Myziane Maolida,1.81,France
Timothy Weah,1.8288,United States
Arthur Zagre,1.68,France
Diniyar Bilyaletdinov,1.86,Russia
Sandro,1.88,Brazil
Nacho Monreal,1.79,Spain
Ricky van Wolfswinkel,1.86,Netherlands
Jozy Altidore,1.8542,United States
Leroy Fer,1.88,Netherlands
Federico Fernández,1.9,Argentina
Federico Fazio,1.95,Argentina
Connor Wickham,1.91,England
Jordan Veretout,1.77,France
Max Gradel,1.77,Ivory Coast
Florian Lejeune,1.89,France
Bernardo,1.86,
Trezeguet,1.8,Egypt
Jucilei,1.87,Brazil
Nicolás Pareja,1.81,Argentina
Emmanuel Emenike,1.82,Nigeria
Maxime Lestienne,1.76,Belgium
Rubén Rochina,1.79,Spain
Yaroslav Rakytskyi,1.8,Ukraine
Pedro León,1.83,Spain
Nuri Sahin,1.8,Turkey
Raphaël Varane,1.91,France
Josuha Guilavogui,1.88,France
Guilherme Siqueira,1.83,
Santi Mina,1.81,Spain
Nemanja Maksimovic,1.89,Serbia
Santiago Cáseres,1.77,
Portu,1.78,Spain
McDonald Mariga,1.88,Kenya
Daniele Galloppa,1.85,Italy
Marco Borriello,1.86,Italy
Álvaro Pereira,1.82,Uruguay
Giuseppe Rossi,1.73,Italy
Domenico Berardi,1.83,Italy
Lorenzo Tonelli,1.83,Italy
Marco Benassi,1.84,Italy
Adam Ounas,1.72,Algeria
Lorenzo Pellegrini,1.88,Italy
Diego Falcinelli,1.86,
Federico Di Francesco,1.71,Italy
Soualiho Meïté,1.85,France
Erick Pulgar,1.87,Chile
Manuel Locatelli,1.86,Italy
Ola Aina,1.82,Nigeria
Stephan Lichtsteiner,1.82,Switzerland
Martin Braithwaite,1.77,Denmark
Éder,1.79,Italy
Adrián Ramos,1.85,Colombia
Kenwyne Jones,1.8796,Trinidad and Tobago
Stephen Ireland,1.76,Republic of Ireland
Andrea Poli,1.82,Italy
Bruno Fernandes,1.79,Portugal
Marcos Acuña,1.72,Argentina
Wallace,1.6256,England B
Kevin Trapp,1.89,Germany
Téji Savanier,1.71,
Matt Jarvis,1.7271999999999998,England
Vlad Chiriches,1.84,Romania
Michail Antonio,1.8034,
Papy Djilobodji,1.92,Senegal
Salvatore Bocchetti,1.86,Italy
Zoran Tosic,1.71,Serbia
Vitinho,1.78,Brazil
Adriano,1.89,Brazil
Aderllan Santos,1.93,
Ganso,1.84,Brazil
José Callejón,1.78,Spain
Davide Santon,1.87,Italy
Dries Mertens,1.69,Belgium
Mapou Yanga-Mbiwa,1.84,France
Marco van Ginkel,1.86,Netherlands
Lewis Grabban,1.83,
Sébastien Bassong,1.87,Cameroon
Tom Cleverley,1.75,England
Walace,1.88,Brazil
Kevin Mbabu,1.84,Switzerland
José Fonte,1.91,Portugal
Bruno Jordão,1.8,Portugal
Jack Cork,1.83,England
Will Hughes,1.85,England
Tom Ince,1.78,England
Aaron Mooy,1.74,Australia
Gabriel Boschilia,1.72,Brazil
Eljero Elia,1.76,Netherlands
Christian Träsch,1.8,Germany
Yann Sommer,1.83,Switzerland
Martin Hinteregger,1.86,Austria
Jonathas,1.9,Brazil
Rabbi Matondo,1.75,Wales
Pablo Maffeo,1.73,Spain
Nadiem Amiri,1.8,Germany
Marcus Thuram,1.92,France
Djibril Sow,1.84,Switzerland
Jeremiah St. Juste,1.86,Netherlands
Lisandro Magallán,1.85,Argentina
Mateus Uribe,1.82,Colombia
Morgan Sanson,1.82,France
Jordan Siebatcheu,1.9,France
Youssouf Koné,1.74,Mali
Flavien Tait,1.75,
Stephen Warnock,1.7018,England
Wilson Palacios,1.78,Honduras
Bastian Schweinsteiger,1.83,Germany
Sven Kums,1.76,Belgium
Kamil Grosicki,1.8,Poland
Andrew Robertson,1.78,Scotland
Jairo Riedewald,1.82,Netherlands
Alexander Sörloth,1.95,Norway
Anwar El Ghazi,1.88,Netherlands
Vladimir Bystrov,1.77,Russia
Roman Pavlyuchenko,1.88,Russia
Emiliano Rigoni,1.81,Argentina
Fedor Smolov,1.87,Russia
Tonny Vilhena,1.75,Netherlands
Didier Zokora,1.79,Ivory Coast
Cristián Zapata,1.87,Colombia
Miguel Veloso,1.8,Portugal
Sébastien Frey,1.89,France
Blerim Dzemaili,1.8,Switzerland
Miguel Britos,1.88,
Josip Ilicic,1.9,Slovenia
Miranda,1.86,Brazil
Diego Perotti,1.79,Argentina
Nicola Murru,1.8,Italy
Lukasz Skorupski,1.87,Poland
Antonino La Gumina,1.86,Italy
Germán Pezzella,1.9,Argentina
Riccardo Saponara,1.85,Italy
Patrik Schick,1.86,Czech Republic
Robin Olsen,1.96,Sweden
Armando Izzo,1.83,Italy
Takehiro Tomiyasu,1.88,Japan
Alberto Cerri,1.94,Italy
Daryl Janmaat,1.85,Netherlands
Nikola Vukcevic,1.84,Montenegro
Elias,,
Bebé,1.9,Portugal
César Azpilicueta,1.78,Spain
James McArthur,1.78,Scotland
Alberto Paloschi,1.8288,Italy
Tom Heaton,1.88,England
Andreas Cornelius,1.95,Denmark
Siem de Jong,1.85,Netherlands
Albian Ajeti,1.83,Switzerland
Guido Pizarro,1.85,Argentina
Alexander Isak,1.92,Sweden
Roberto,1.68,Brazil
Benjamin Stambouli,1.8,France
Steven Defour,1.73,Belgium
Pierre-Michel Lasogga,1.89,Germany
Joshua Kimmich,1.76,Germany
Nicólas González,1.8,Argentina
Dominik Kohr,1.83,Germany
Ihlas Bebou,1.83,Togo
Zé Luís,1.85,Cape Verde
Mevlüt Erdinc,1.81,Turkey
Jorge,1.84,Brazil
Samuel Kalu,1.76,Nigeria
Vurnon Anita,1.68,Netherlands
Demba Ba,1.89,Senegal
Rudy Gestede,1.93,Benin
Nani,1.75,Portugal
Adnan Januzaj,1.86,Belgium
Andrii Lunin,,
Camilo Zúñiga,1.72,Colombia
Víctor Ruiz,1.86,Catalonia
Emiliano Viviano,1.95,Italy
Mattia Destro,1.82,Italy
Gustavo Gómez,1.85,Paraguay
Alban Lafont,1.93,France
Gary Cahill,1.93,England
Charlie Adam,1.85,Scotland
Nordin Amrabat,1.78,Morocco
Andrea Belotti,1.85,Italy
Jonny Evans,1.88,Northern Ireland
Hassane Bandé,1.78,Burkina Faso
Obbi Oulare,1.94,Belgium
Marko Marin,1.7,Germany
Zdravko Kuzmanović,1.86,Serbia
Álvaro Domínguez,1.89,Spain
Ádám Szalai,1.93,Hungary
Jonas Hofmann,1.78,Germany
Admir Mehmedi,1.83,Switzerland Olympic
Serge Gnabry,1.75,Germany
Havard Nordtveit,1.88,Norway
Davie Selke,1.94,Germany Olympic
Amine Harit,1.79,Morocco
Kasim Adams,1.9,Ghana
Luan Cândido,1.87,Brazil
Ramy Bensebaini,1.87,Algeria
Demy de Zeeuw,1.74,Netherlands
Adam Maher,1.74,Netherlands
Filip Djuricic,1.82,Serbia
Gabriel,1.9,Brazil
Cédric Carrasso,1.87,France
Jérémy Ménez,1.83,France
Mohamed Sissoko,1.91,Mali
Nolan Roux,1.82,France
Nicolas de Préville,1.78,France
Valère Germain,1.81,France
Rafik Guitane,1.7,France
Anthony Limbombe,1.77,Belgium
Jean Lucas,1.81,Brazil
Ruben Aguilar,1.72,
Ludovic Blas,1.8,France
Wesley Saïd,1.71,France
Chris Smalling,1.94,England
Roger Johnson,1.905,
José Enrique,1.84,Spain
Sebastián Coates,1.96,Uruguay
Esteban Granero,1.8,Spain
Luis Alberto,1.82,Spain
Willy Caballero,1.86,Argentina
Kenedy,1.82,Brazil
Joselu,1.92,Galicia
Mattéo Guendouzi,1.85,France
Lukasz Fabianski,1.9,Poland
Alexis Mac Allister,1.74,Argentina unde
Zack Steffen,1.905,United States
Björn Engels,1.93,Belgium
Oleksandr Aliiev,1.73,Ukraine
Christian Noboa,1.83,Ecuador
Rômulo,1.84,Brazil
Aleksandr Samedov,1.78,Russia
Denis Glushakov,1.82,Russia
Aras Özbiliz,1.75,Armenia
Hernani,1.8,
Wanderson,1.75,
Sofiane Hanni,1.78,Algeria
Matías Kranevitter,1.78,Argentina
Miha Mevlja,1.9,Slovenia
Christian Cueva,1.69,Peru
Samuel Gigot,1.87,
Vyacheslav Karavaev,1.75,Russia
Diego Godín,1.87,Uruguay
Ricardo Carvalho,1.83,Portugal
Sílvio,1.76,Portugal
Jonathan de Guzmán,1.73,Netherlands
Beñat Etxebarria,1.76,Basque Country
Dorlan Pabón,1.68,Colombia Olympic
Alfred Finnbogason,1.85,Iceland
Samu García,1.82,Spain
Raúl García,1.84,Basque Country
Alfred N'Diaye,1.86,Senegal
Fran Beltrán,1.7,Spain
Cristiano Piccini,1.89,Italy
Fernando Calero,1.83,
Juanmi,1.69,Spain
Rubén Peña,1.7,
Joseph Aidoo,1.84,Ghana
Nicolás Burdisso,1.83,Argentina
Rafinha,1.71,Brazil
Alberto Gilardino,1.84,Italy
Matías Silvestre,1.87,
Martín Cáceres,1.78,Uruguay
Kévin Constant,1.84,Guinea
Davide Faraoni,1.8,Italy
Valon Behrami,1.84,Switzerland
Alberto Grassi,1.85,Italy
Luiz Adriano,1.83,Brazil
Tomás Rincón,1.77,Venezuela
Vitor Hugo,1.87,
Juan Jesus,1.85,Brazil
Omar Colley,1.91,Gambia
Ignacio Pussetto,1.8,
Eddie Salcedo,1.78,Italy
Rade Krunic,1.84,Bosnia and Herzegovina
Giovanni Di Lorenzo,1.87,Italy
Pedro Obiang,1.85,Equatorial Guinea
Stuart Armstrong,1.83,Scotland
Nicolás Castillo,1.79,Chile
Jadon Sancho,1.8,England
Scott Sinclair,1.73,Great Britain
Nikica Jelavic,1.87,Croatia
Callum Robinson,1.778,Republic of Ireland
Dodô,1.66,Brazil
Gaël Clichy,1.76,France
Kalidou Koulibaly,1.86,Senegal
Danijel Pranjic,1.71,Croatia
Bruno Martins Indi,1.85,Netherlands
Kevin Mirallas,1.82,Belgium
Kevin Doyle,1.81,Republic of Ireland
Filippo Romagna,1.86,Italy
Valon Berisha,1.78,Kosovo
Jordon Mutch,1.8796,England
Heiko Westermann,1.9,Germany
Jonathan Tah,1.95,Germany
Timothée Kolodziejczak,1.85,France
Pierre Kunde Malong,1.81,Cameroon
Dawid Kownacki,1.85,Poland
Edimilson Fernandes,1.9,Switzerland
Tomas Koubek,1.98,Czech Republic
Ritsu Doan,1.72,Japan
Wendel,1.8,Brazil
Mamadou Loum,1.88,Senegal
Agustín Marchesín,1.88,Argentina
Robert Beric,1.88,Slovenia
Jonathan Cafú,1.73,
Lucas Piazón,1.84,Brazil
Nick Powell,1.83,England
Clint Dempsey,1.8542,United States
Tiago Ilori,1.9,Portugal
Emanuele Giaccherini,1.67,Italy
Kieran Gibbs,1.81,England
Christian Atsu,1.65,Ghana
Felipe Caicedo,1.85,Ecuador
Yura Movsisyan,1.85,Armenia
Pablo Piatti,1.63,Argentina
Sergio Canales,1.76,Spain
Ángel Correa,1.71,Argentina
Cédric Bakambu,1.83,DR Congo
Antonio Sanabria,1.81,Paraguay
Javi Ontiveros,1.74,Spain
Simone Pepe,1.79,Italy
Goran Pandev,1.84,North Macedonia
Saphir Taider,1.8,Algeria
José Sosa,1.83,Argentina
Andrew Gravillon,1.88,
Andrea Favilli,1.91,Italy
Riza Durmisi,1.68,Denmark
Francesco Caputo,1.81,
Nicolás Domínguez,1.79,Argentina
Maarten Stekelenburg,1.98,Netherlands
Alessandro Rosina,1.68,Italy
Pelé,1.73,
Patrick Roberts,1.67,England
Yuning Zhang,1.85,China
Cristian Espinoza,1.7,Argentina
Arthur Masuaku,1.79,DR Congo
Ronaldo Vieira,1.77,England
Karim Ziani,1.69,Algeria
Josip Simunic,1.95,Croatia
Ryan Babel,1.85,Netherlands
Philipp Wollscheid,1.94,Germany
Tin Jedvaj,1.84,Croatia
Konrad Laimer,1.79,Austria
Jeremy Toljan,1.82,Germany Olympic
Jannes Horn,1.86,Germany
Jorge Meré,1.82,Spain
Milot Rashica,1.78,Kosovo
Salif Sané,1.96,Senegal
Marcel Tisserand,1.85,DR Congo
Eduard Löwen,1.88,Germany
Vincenzo Grifo,1.8,Italy
Marc Janko,1.96,Austria
Tim Matavz,1.88,Slovenia
Daley Sinkgraven,1.79,Netherlands
Gastón Pereiro,1.88,Uruguay
Lisandro Martínez,1.78,Argentina
Marcos Senesi,1.84,
Diego Reyes,1.89,Mexico
Luis Díaz,1.83,Colombia
Dieumerci Mbokani,1.85,DR Congo
Marcelo,1.74,Brazil
Faitout Maouassa,1.7,France
Benjamin André,1.8,France
Robert Huth,1.91,Germany
Lee Cattermole,1.78,England
Yossi Benayoun,1.74,Israel
Stéphane Sessègnon,1.68,Benin
Ben Foster,1.9304,England
Nikola Zigic,2.02,Serbia
André Santos,1.8,Brazil
Pablo Hernández,1.73,Spain
Sung-yong Ki,1.86,South Korea
Arouna Koné,1.81,Ivory Coast
Marko Grujic,1.9,Serbia
Oriol Romeu,1.83,Catalonia
Cédric Soares,1.72,Portugal
Yohan Benalouane,1.85,Tunisia
Lewis Cook,1.75,England
Martín Montoya,1.74,Spain
Aleksandar Lukovic,1.85,Serbia
Vedran Corluka,1.92,Croatia
Vladimir Gabulov,1.9,Russia
Oleg Shatov,1.73,Russia
Mathieu Valbuena,1.67,France
Giuliano,1.72,Brazil
Ayrton Lucas,1.8,Brazil
Leo Baptistão,1.81,
Mathew Ryan,1.84,Australia
Denis Cheryshev,1.79,Russia
Gerónimo Rulli,1.89,Argentina
Éver Banega,1.75,Argentina
Diego Llorente,1.86,Spain
Ryad Boudebouz,1.77,Algeria
Víctor Camarasa,1.83,Spain
Néstor Araujo,1.89,Mexico
Álex Moreno,1.79,
Lúcio,1.88,Brazil
Hugo Campagnaro,1.81,Argentina
Andrea Rispoli,1.88,Italy
Luca Antonelli,1.84,Italy
Jonathan Biabiany,1.77,France
Borja Valero,1.74,Spain
Stefan de Vrij,1.89,Netherlands
Giacomo Bonaventura,1.8,Italy
Iago Falque,1.74,Galicia
Pol Lirola,1.83,Catalonia
Francesco Cassata,1.83,Italy
Lyanco,1.87,Brazil
Davide Bettella,1.85,Italy
Jacob Rasmussen,1.93,Denmark
Khouma Babacar,1.91,Senegal
Christian Kabasele,1.87,Belgium
Patrick Bamford,1.85,England
Johnny Heitinga,1.8,Netherlands
Richard Dunne,1.88,Republic of Ireland
Alessandro Diamanti,1.8,Italy
Scott Dann,1.88,England
Florin Gardos,1.93,Romania
Joe Bryan,1.7018,
Gabriel Martinelli,1.8,Brazil
James Justin,1.83,England
Dele Alli,1.88,England
Craig Gardner,1.778,England
Kyle Naughton,1.8,England
Daniel Amartey,1.86,Ghana
Wendell,1.76,Brazil
Kyriakos Papadopoulos,1.83,Greece
Lewis Holtby,1.76,Germany
Niclas Füllkrug,1.89,Germany
Benito Raman,1.72,Belgium
Iago,1.76,Galicia
Steven Berghuis,1.83,Netherlands
Florent Sinama-Pongolle,1.76,France
Yacine Brahimi,1.75,Algeria
Alex Telles,1.8,Brazil
Souleymane Diawara,1.87,Senegal
Víctor Montaño,1.77,Colombia
Jason Denayer,1.84,Belgium
Domagoj Bradaric,1.78,Croatia
Sylvain Distin,1.93,
Sébastien Squillaci,1.85,Corsica
Ju-yeong Park,1.82,South Korea
Libor Kozak,1.92,Czech Republic
Lamine Koné,1.86,France
Matt Phillips,,Scotland
Ramadan Sobhi,1.83,Egypt
Mark González,1.76,Chile
Aleksandr Kerzhakov,1.76,Russia
Luís Neto,1.86,Portugal
Tino Costa,1.76,Argentina
Marko Livaja,1.82,Croatia
Daniel Carvajal,1.73,Spain
Sidnei,1.85,Brazil
Hiroshi Kiyotake,1.72,Japan
Alexander Merkel,1.79,Kazakhstan
Federico Santander,1.87,Paraguay
Lucas Castro,1.82,
Yann Karamoh,1.85,France
Gabriel Brazão,1.92,Brazil
Callum McManaman,1.75,England
Emmanuel Rivière,1.82,Martinique
Gary Hooper,1.75,
Nathaniel Chalobah,1.87,England
Gonzalo Bergessio,1.78,Argentina
Jean II Makoun,1.73,Cameroon
Scott Parker,1.7018,England
Loris Karius,1.89,Germany
Moritz Bauer,1.81,Austria
Raphael Dwamena,1.84,Ghana
Savio Nsereko,1.76,Germany
David Rozehnal,1.91,Czech Republic
Franco Di Santo,1.9304,Argentina
André Hahn,1.85,Germany
Chadrac Akolo,,DR Congo
Santiago Ascacíbar,1.71,Argentina
Hamza Mendyl,1.79,Morocco
Leonardo Bittencourt,1.71,Germany
Borna Sosa,1.84,Croatia
Moussa Niakhaté,1.9,France
Aarón Martín,1.8,Catalonia
Ellyes Skhiri,1.85,Tunisia
Sebastiaan Bornauw,1.9,Belgium
Luc Castaignos,1.87,Netherlands
Nemanja Gudelj,1.88,Serbia
Ridgeciano Haps,1.75,
Zakaria Labyad,1.75,Morocco
Érick Gutiérrez,1.76,Mexico
Walter,,West Germany
Laurent Depoitre,1.91,Belgium
Miguel Layún,1.8,Mexico
Jimmy Briand,1.81,France
Gregory van der Wiel,1.83,Netherlands
Claudio Beauvue,1.74,Guadeloupe
Thomas Meunier,1.9,Belgium
Andy Delort,1.82,Algeria
Adil Rami,1.9,France
Jean-Victor Makengo,1.77,France
Ronaël Pierre-Gabriel,1.77,France
Serhou Guirassy,1.87,France
Léo Jardim,1.88,Brazil
Victorien Angban,1.8,Ivory Coast
Tomas Kalas,1.84,Czech Republic
Hatem Ben Arfa,1.79,France
Modibo Maïga,1.85,Mali
Iván Ramis,1.89,Spain
Carlos Sánchez,1.82,Colombia
Aaron Lennon,1.65,England
Henri Saivet,1.74,Senegal
Stefano Okaka,1.86,Italy
Sandro Ramírez,1.75,Spain
Jan Bednarek,1.89,Poland
Florin Andone,1.8,Romania
Fabri,1.84,Spain
Craig Dawson,1.8796,Great Britain
Keisuke Honda,,Japan
Wagner,1.8,United States
Vágner Love,1.72,Brazil
Rasmus Elm,1.84,Sweden
Gökhan Töre,1.76,Turkey
Mubarak Wakaso,1.71,Ghana
Igor Smolnikov,1.79,Russia
William Vainqueur,1.79,France
Ivelin Popov,1.82,Bulgaria
Uros Spajic,1.88,Serbia
Iván Marcano,1.89,Spain
Dani Parejo,1.82,Spain
Casemiro,1.85,Brazil
Giovani dos Santos,1.74,Mexico
Kiko Casilla,1.9,Catalonia
Bernard Mensah,1.8,Ghana
Gaël Kakuta,1.73,DR Congo
Pione Sisto,1.73,Denmark
Willian José,1.89,Brazil
Héctor Moreno,1.85,Mexico
Youssef En-Nesyri,1.88,Morocco
Okay Yokuslu,1.91,Turkey
Tomas Vaclik,1.88,Czech Republic
Daniel Wass,1.81,Denmark
Enric Gallego,1.9,
Matuzalém,1.75,Brazil U–20
Raffaele Palladino,1.82,Italy
Abdoulay Konko,1.82,
Daniele Baselli,1.82,Italy
Luca Valzania,1.86,Italy
Luca Rizzo,1.88,
Alfred Duncan,1.81,Ghana
Timothy Castagne,1.85,Belgium
Fabio Eguelfi,1.78,Italy
Mário Rui,1.68,Portugal
Federico Valietti,1.85,Italy
Ante Coric,1.76,Croatia
Marlon,1.5,Saint Vincent and the Grenadines
Stefano Denswil,1.88,Netherlands
Andreas Skov Olsen,1.87,Denmark
Lukas Lerager,1.86,Denmark
Rogério,1.88,Brazil
Younès Kaboul,1.93,France
Victor Anichebe,1.91,Nigeria
Giovanni Sio,1.8,Ivory Coast
Lorik Cana,1.82,Albania
Bobby Zamora,1.8288,England
Danny Graham,1.83,England
Tom Huddlestone,1.88,England
Ashley Westwood,1.7526,
Djibril Cissé,1.83,France
Bremer,1.88,
Steven Pienaar,1.7,South Africa
Ishak Belfodil,1.92,Algeria
Franco Cervi,1.65,Argentina
James Collins,1.88,Republic of Ireland
Tuncay Sanli,1.82,Turkey
Lucas Leiva,1.79,Brazil
Michel Vorm,1.83,Netherlands
Tiquinho Soares,1.87,
Luke Freeman,1.7271999999999998,England
Gojko Kacar,1.85,Serbia
Julian Schieber,1.86,Germany
Eren Derdiyok,1.91,Switzerland
Oliver Baumann,1.87,Germany
Michael Gregoritsch,1.93,Austria
Evan N'Dicka,1.92,France
Mateo Cassierra,1.86,
Rasmus Kristensen,1.87,Denmark
Denzel Dumfries,1.89,Netherlands
Franco Jara,1.8,Argentina
Bruno César,1.77,Brazil
Renzo Saravia,1.78,Argentina
Yacine Adli,1.86,France
Ángelo Henríquez,1.78,Chile
Rickie Lambert,1.88,England
Marlos Moreno,1.71,Colombia
Alexander Büttner,1.74,Netherlands
Sebastian Szymanski,1.74,Poland
Sergio Asenjo,1.89,Spain
Ikechukwu Uche,1.71,Nigeria
Tiberio Guarente,1.8,Italy
Mehmet Topal,1.87,Turkey
Walter Montoya,1.72,
Manu Vallejo,1.67,Spain
Lorenzo De Silvestri,1.86,Italy
Mirko Valdifiori,1.85,Italy
Adam Marusic,1.85,Montenegro
Álex Berenguer,1.75,
Riad Bajić,1.89,Bosnia and Herzegovina
Christian Poulsen,1.82,Denmark
Wallace Oliveira,1.75,Brazil
Michael Hector,1.93,Jamaica
Glenn Murray,1.83,
Nahki Wells,1.7,Bermuda
Emil Krafth,1.81,Sweden
Ewerton,1.88,
Pape Souaré,1.78,Senegal
Dwight Gayle,1.74,
Markus Henriksen,1.87,Norway
Édgar Barreto,1.82,Paraguay
Maxi Moralez,1.58,Argentina
Maicosuel,1.8,
Ezequiel Schelotto,1.87,Italy
David López,1.85,Catalonia
Paddy McNair,1.8796,Northern Ireland
Stefano Sensi,1.68,Italy
Christian Kouamé,1.85,Ivory Coast
Jonathan Schmid,,
Majeed Waris,1.72,Ghana
Charlie Austin,1.8796,
Tom Carroll,1.77,England
Adlène Guédioura,1.78,Algeria
Houssine Kharja,1.8,Morocco
Nicola Pozzi,1.82,Italy
Federico Marchetti,1.9,Italy
Demarai Gray,1.8034,England
Mauricio Pinilla,1.87,Chile
Nikola Milenkovic,1.95,Serbia
Réver,1.92,Brazil
Patrick Helmes,1.82,Germany
Mehmet Ekici,1.8,Turkey
Raffael,1.74,
Ja-cheol Koo,1.82,South Korea
Alessandro Schöpf,1.78,Austria
Levin Öztunali,1.76,Germany
Paul-Georges Ntep,1.8,Cameroon
Jakub Blaszczykowski,1.75,Poland
Alen Halilovic,1.7,Croatia
Lukas Rupp,,
Yvon Mvogo,1.9,Switzerland
Jetro Willems,1.77,Netherlands
William,,
Marius Wolf,1.88,Germany
Carlos Salcedo,1.89,Mexico
Luca Waldschmidt,1.81,Germany
Jérôme Roussillon,1.75,France
Mounir El Hamdaoui,1.83,Morocco
Derrick Luckassen,1.86,Netherlands
Kik Pierie,1.85,Netherlands
Fernando Belluschi,1.75,Argentina
Javier Saviola,1.68,Argentina
Rafael Camacho,1.75,Portugal
Valentin Rosier,1.75,France
Boubacar Sanogo,1.88,Ivory Coast
Razak Boukari,1.87,Togo
Nenê,1.81,Brazil
Alou Diarra,1.9,France
Alex,1.88,Brazil
Daniel Congré,1.84,France
Alain Traoré,1.76,Burkina Faso
Franck Tabanou,1.78,France
Benjamin Corgnet,1.8,
Romain Alessandrini,1.73,
Dória,1.88,Brazil
Gil Dias,1.83,Portugal
Karim Rekik,1.86,Netherlands
Wylan Cyprien,1.81,France
Otávio,,
Xeka,1.86,Portugal
Assane Dioussé,1.75,Senegal
Jonathan Ikoné,1.75,France
Lenny Pintor,1.79,France
Christophe Hérelle,1.79,
Firmin Mubele,1.78,DR Congo
Tiago Djaló,1.9,Portugal
Predrag Rajkovic,1.91,Serbia
Anders Lindegaard,1.93,Denmark
Dimitar Berbatov,1.89,Bulgaria
Martín Demichelis,1.84,Argentina
Karl Darlow,1.9,
Jamaal Lascelles,1.88,England
Jefferson Montero,1.73,Ecuador
Eric Dier,1.88,England
Bartosz Kapustka,1.79,Poland
Ragnar Klavan,1.87,Estonia
Viktor Fischer,1.81,Denmark
Ahmed Hegazy,1.93,Egypt
Javier Manquillo,1.8,Spain
Adam Masina,1.89,Italy
Florent Hadergjonaj,1.82,Kosovo
Alan Kasaev,1.74,Russia-2
Danko Lazovic,1.84,Serbia
Diego Tardelli,1.79,Brazil
Shamil Lakhiyalov,1.75,
Senijad Ibricic,1.85,Bosnia and Herzegovina
Sergey Davydov,,
Dame N'Doye,1.85,Senegal
Aleksey Ionov,1.77,Russia
Marko Devic,1.85,Ukraine
Chris Mavinga,1.83,DR Congo
Lorenzo Melgarejo,1.78,Paraguay
Andreas Granqvist,1.96,Sweden
Pavel Mamaev,1.8,Russia
Ezekiel Henty,1.85,
Benedikt Höwedes,1.88,Germany
Maxwell,1.76,Brazil
Miguel Ángel Moyà,1.88,Spain
Alexis,1.69,Chile
Rúben Micael,1.75,Portugal
Youssef El Arabi,1.83,Morocco
Tomás Pina,1.85,
Jesús Vallejo,1.86,Spain
Keko,1.77,Spain
Sébastien Corchia,1.75,France
Stanislav Lobotka,1.7,Slovakia
José Manuel Arnáiz,1.72,
Ignasi Miquel,1.89,Spain
Johan Mojica,1.85,Colombia
Marc Muniesa,1.79,Catalonia
Moses Simon,1.68,Nigeria
Mathias Jensen,1.73,Denmark
Rubén Sobrino,1.85,Spain
Sergi Guardiola,1.8,
Kenneth Omeruo,1.85,Nigeria
Dani Martín,,
Rúben Vezo,1.84,Portugal
Franco Semioli,1.77,Italy
Rubinho,1.86,Brazil
Erwin Hoffer,1.76,Austria
Marco Amelia,1.9,Italy
Riccardo Meggiorini,1.82,Italy
Andrea Pisanu,1.8,
Chico,1.87,Spain
Ezequiel Muñoz,1.85,Argentina
Pablo González,,
Jonathan,1.75,Argentina
Diego Forlán,1.8,Uruguay
Gabriel Torje,1.67,Romania
Simone Padoin,1.79,Italy
Antonio Cassano,1.75,Italy
Leandro Castán,1.86,Brazil
Germán Denis,1.84,Argentina
Rafael,1.72,Brazil
Faouzi Ghoulam,1.88,Algeria
Raman Chibsah,1.78,Ghana
Papu Gómez,1.67,Argentina
Luca Marrone,1.86,Italy
Daniele Rugani,1.9,Italy
Elseid Hysaj,1.83,Albania
Luka Krajnc,1.88,Slovenia
Godfred Donsah,1.75,Ghana
Marcelo Brozovic,1.81,Croatia
Bastos,1.84,Angola
Cristiano Biraghi,1.86,Italy
Jacopo Sala,1.84,Italy
Etrit Berisha,1.95,Albania
Federico Mattiello,1.84,Italy
Maxime Gonalons,1.87,France
Davide Frattesi,1.84,Italy
Marco Tumminello,1.86,Italy
Marco Carraro,1.9,Italy
Filip Bradaric,1.86,Croatia
Federico Dimarco,1.74,Italy
Giangiacomo Magnani,1.9,
Juraj Kucka,1.86,Slovakia
Felipe Vizeu,1.84,Brazil
Jesse Joronen,1.97,Finland
Christian Oliva,1.78,
Andrea Adorante,1.92,Brazil
Mert Müldür,1.88,Turkey
Marco Sala,1.77,Italy
Joe Gomez,1.88,England
Alex McCarthy,1.9304,England
Mattia Bani,1.9,
Alan Ruiz,1.83,Argentina
Pavel Pogrebnyak,1.88,Russia
Naldo,1.98,Brazil
