player_name,height,nationality
Georginio Wijnaldum,1.75,Netherlands
Moise Kean,1.82,Italy
Pedro,1.69,Spain
Ilkay Gündogan,1.8,Germany
Davy Klaassen,1.79,Netherlands
Ryan Sessegnon,1.778,England
Kieran Tierney,1.78,Scotland
Diego,1.73,Brazil
Steven Nzonzi,1.96,France
Breel Embolo,1.84,Switzerland
Stevan Jovetic,1.83,Montenegro
Neto,1.9,Brazil
Alex Sandro,1.77,Brazil
Cristian Romero,1.85,Argentina
Thorgan Hazard,1.75,Belgium
Nico Schulz,1.81,Germany
Dejan Lovren,1.88,Croatia
Arjen Robben,1.8,Netherlands
Thiago,1.74,Spain
Andrii Yarmolenko,1.9,Ukraine
Julian Brandt,1.85,Germany
Yohan Cabaye,1.74,France
João Moutinho,1.7,Portugal
Layvin Kurzawa,1.82,France
Jesé,1.78,Spain
Kevin Strootman,1.87,Netherlands
Jeff Reine-Adélaïde,1.83,France
David de Gea,1.92,Spain
Lazar Markovic,1.78,Serbia
Davide Zappacosta,1.82,Italy
Serge Aurier,1.76,Ivory Coast
Bernd Leno,1.9,Germany
James Maddison,1.75,England
Issa Diop,1.94,France
Jannik Vestergaard,1.99,Denmark
Jean-Philippe Gbamin,1.86,Ivory Coast
Wesley,1.77,Brazil
Dmytro Chygrynskiy,1.89,Ukraine
Toni Kroos,1.83,Germany
Enzo Pérez,1.78,Argentina
Stefan Savic,1.87,Montenegro
Samuel Umtiti,1.82,France
Nico Gaitán,1.74,Argentina
Mario Hermoso,1.84,Spain
Jules Koundé,1.81,France
Rony Lopes,1.74,Portugal
Diego Milito,1.83,Argentina
Felipe Melo,1.83,Brazil
Alessio Romagnoli,1.88,Italy
Blaise Matuidi,1.75,France
Samu Castillejo,1.82,Spain
André Zambo Anguissa,1.84,Cameroon
Yannick Carrasco,1.81,Belgium
Aleksandar Mitrovic,1.89,Serbia
Adrien Silva,1.75,Portugal
Juan Iturbe,1.72,Paraguay
Simone Verdi,1.74,Italy
Giannelli Imbula,1.86,DR Congo
André Ayew,1.76,Ghana
Lucas Alario,1.84,Argentina
Lisandro López,1.74,Argentina
Joachim Andersen,1.93,Denmark
Miguel Almirón,1.75,Paraguay
Ezequiel Garay,1.88,Argentina
Theo Hernández,1.84,France
Yuri Berchiche,1.81,Basque Country
Matías Vecino,1.89,Uruguay
Andrea Conti,1.84,Italy
Franck Kessié,1.83,Ivory Coast
Aleksandar Kolarov,1.87,Serbia
Pau López,1.89,Catalonia
Alassane Plea,1.8,France
Marcos Alonso,1.88,Spain
Santi Cazorla,1.68,Spain
Marko Pjaca,1.86,Croatia
Rafael Leão,1.88,Portugal
Stewart Downing,1.8,England
Nathan Aké,1.8,Netherlands
Theo Walcott,1.76,England
Cenk Tosun,1.83,Turkey
Marko Arnautovic,1.92,Austria
Tyrone Mings,1.96,England
Danny Ings,1.78,England
