,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
17,1500,0.3,5.229,10,0.310009848,0.1,0.3,11.447,0.888,866.6,24.683,20.064,1.028,11.1,4.7,51.966,12.469
18,1500,0.3,5.229,10,0.310009848,0.1,0.35,12.44,1.105,849.5,32.943,20.038,1.647,14,4.879,45.822,6.074
19,1500,0.3,5.229,10,0.310009848,0.1,0.4,13.587,1.205,854.9,34.933,20.163,1.273,11.4,3.878,52.444,6.392
0,1500,0.3,5.264,9,0.305128816,0.2,0.01,1.729,0.623,788.3,34.926,24.096,3.039,21.9,4.989,56.89,9.723
1,1500,0.3,5.264,9,0.305128816,0.2,0.04,5.07,0.652,794.8,35.743,22.663,2.229,22.6,8.651,54.224,6.263
2,1500,0.3,5.264,9,0.305128816,0.2,0.08,7.094,0.641,793.1,23.86,23.139,1.109,26.4,6.741,50.912,6.682
3,1500,0.3,5.264,9,0.305128816,0.2,0.1,7.628,0.739,800.1,20.969,22.136,1.317,19.9,3.986,52.482,10.654
4,1500,0.3,5.264,9,0.305128816,0.2,0.15,8.771,1.064,813.3,20.494,21.42,1.919,23.1,9.772,50.343,5.886
5,1500,0.3,5.264,9,0.305128816,0.2,0.2,9.936,1.538,828.9,23.032,21.278,2.351,17.7,5.622,50.372,5.724
6,1500,0.3,5.264,9,0.305128816,0.2,0.25,10.776,0.856,811.6,35.123,20.113,1.372,21.3,3.926,52.578,6.282
7,1500,0.3,5.264,9,0.305128816,0.2,0.3,11.019,1.095,819.8,26.149,19.833,0.817,20.1,6.139,50.278,6.069
8,1500,0.3,5.264,9,0.305128816,0.2,0.35,11.743,0.942,837.9,26.629,19.895,1.477,17.3,7.564,51.573,6.828
9,1500,0.3,5.264,9,0.305128816,0.2,0.4,12.897,1.42,815.4,32.488,20.177,1.779,19.3,6.451,50.805,5.785
10,1500,0.3,5.185,10,0.316371232,0.3,0.01,1.631,0.375,694.7,31.363,29.374,2.463,59.1,12.07,68.254,7.685
11,1500,0.3,5.185,10,0.316371232,0.3,0.04,5.2,0.765,690.8,31.432,25.743,1.565,52.3,8.498,61.987,9.223
12,1500,0.3,5.185,10,0.316371232,0.3,0.08,7.125,0.962,719.3,23.337,24.172,1.58,51.1,7.842,59.579,6.901
13,1500,0.3,5.185,10,0.316371232,0.3,0.1,8.117,1.47,724.2,19.025,24.658,1.849,49.1,11.423,62.315,12.445
14,1500,0.3,5.185,10,0.316371232,0.3,0.15,9.614,0.829,730.8,31.729,23.82,1.514,44.2,12.703,64.436,8.114
15,1500,0.3,5.185,10,0.316371232,0.3,0.2,10.661,0.694,735,26.792,22.475,1.973,41.7,7.336,62.126,6.652
16,1500,0.3,5.185,10,0.316371232,0.3,0.25,11.04,1.033,741.1,26.497,21.447,0.995,45,10.733,56.408,8.325
17,1500,0.3,5.185,10,0.316371232,0.3,0.3,12.087,0.655,764.4,24.307,22.189,1.6,37.3,9.613,56.683,8.104
18,1500,0.3,5.185,10,0.316371232,0.3,0.35,12.759,1.087,783,23.791,21.181,1.141,38.3,6.165,52.637,6.061
19,1500,0.3,5.185,10,0.316371232,0.3,0.4,13.926,1.794,767.5,30.007,21.347,2.088,40.4,10.892,55.745,8.044
0,1500,0.3,5.146,10,0.319427237,0.4,0.01,2.344,0.56,606.5,29.564,35.155,2.688,90.4,10.131,76.968,8.803
1,1500,0.3,5.146,10,0.319427237,0.4,0.04,5.972,0.776,605.6,40.677,30.93,2.432,92.5,21.928,69.137,7.464
2,1500,0.3,5.146,10,0.319427237,0.4,0.08,8.014,0.963,607.4,27.262,29.145,2.479,93,14.036,68.294,7.397
3,1500,0.3,5.146,10,0.319427237,0.4,0.1,8.251,0.461,612.5,28.521,27.669,1.519,80.2,13.355,73.5,9.313
4,1500,0.3,5.146,10,0.319427237,0.4,0.15,10.512,1.408,670.7,19.184,25.989,1.593,86.9,20.457,60.63,4.701
5,1500,0.3,5.146,10,0.319427237,0.4,0.2,10.963,1.054,657.9,28.413,24.467,1.41,84.4,10.375,64.123,9.489
6,1500,0.3,5.146,10,0.319427237,0.4,0.25,12.221,1.054,703.6,32.623,23.696,1.884,67.3,16.977,64.213,6.654
7,1500,0.3,5.146,10,0.319427237,0.4,0.3,13.247,1.3,689.9,24.72,23.77,2.11,66.7,10.169,58.98,7.384
8,1500,0.3,5.146,10,0.319427237,0.4,0.35,13.933,1.422,698,26.937,22.832,1.909,77.1,20.349,63.679,11.09
9,1500,0.3,5.146,10,0.319427237,0.4,0.4,14.577,1.457,724.8,24.355,22.585,1.821,61.5,23.897,59.975,7.703
10,1500,0.3,5.19,10,0.31431907,0.5,0.01,1.829,0.393,499.1,37.551,43.867,4.496,152.4,23.754,104.035,17.704
11,1500,0.3,5.19,10,0.31431907,0.5,0.04,5.092,0.722,493.2,39.326,35.653,3.094,160.7,25.247,90.984,11.646
12,1500,0.3,5.19,10,0.31431907,0.5,0.08,7.706,0.816,551.4,24.076,29.881,3.018,135.5,23.691,81.175,11.721
13,1500,0.3,5.19,10,0.31431907,0.5,0.1,8.269,0.926,550.8,30.815,28.181,2.466,147.5,24.832,83.057,13.878
14,1500,0.3,5.19,10,0.31431907,0.5,0.15,10.23,0.98,561.9,28.665,26.755,1.926,137.8,24.681,77.891,12.814
15,1500,0.3,5.19,10,0.31431907,0.5,0.2,10.621,1.169,601.6,35.581,25.662,1.906,121.6,23.959,71.664,11.998
16,1500,0.3,5.19,10,0.31431907,0.5,0.25,12.153,1.276,639.2,31.568,23.588,2.188,111.4,22.087,70.152,13.303
17,1500,0.3,5.19,10,0.31431907,0.5,0.3,12.709,1.31,652.6,29.783,21.829,1.95,114.6,16.089,68.523,16.852
18,1500,0.3,5.19,10,0.31431907,0.5,0.35,13.079,1.278,673.1,46.522,21.386,1.432,89.9,25.618,68.167,12.575
19,1500,0.3,5.19,10,0.31431907,0.5,0.4,14.341,1.144,703.7,18.232,21.92,2.01,82.6,17.878,64.997,10.451
0,1500,0.3,5.213,10,0.312993318,0.6,0.01,2.02,0.414,361.4,48.736,50.573,7.263,315.8,47.512,115.753,17.037
1,1500,0.3,5.213,10,0.312993318,0.6,0.04,5.38,0.633,390.7,41.752,39.326,4.697,293.1,51.107,99.461,14.534
2,1500,0.3,5.213,10,0.312993318,0.6,0.08,7.895,0.475,420.7,43.768,32.356,4.466,270.6,48.088,100.157,14.587
3,1500,0.3,5.213,10,0.312993318,0.6,0.1,7.615,1.173,449,38.231,29.641,3.189,263.6,33.185,91.093,15.704
4,1500,0.3,5.213,10,0.312993318,0.6,0.15,9.405,0.786,499.4,35.41,27.803,2.416,225.3,25.877,87.056,11.99
5,1500,0.3,5.213,10,0.312993318,0.6,0.2,10.775,1.5,508.9,22.55,23.92,2.719,225,26.321,87.816,10.047
6,1500,0.3,5.213,10,0.312993318,0.6,0.25,11.977,0.944,558.8,25.651,24.331,2.203,192.2,26.791,78.695,12.178
7,1500,0.3,5.213,10,0.312993318,0.6,0.3,12.477,0.74,591.8,23.314,22.712,1.41,174.5,22.214,67.421,8.955
8,1500,0.3,5.213,10,0.312993318,0.6,0.35,13.559,1.266,605.9,34.613,21.847,2.588,181.3,18.698,76.252,23.184
9,1500,0.3,5.213,10,0.312993318,0.6,0.4,13.32,0.855,659.8,29.752,20.38,1.238,140.5,19.699,69.31,7.753
10,1500,0.3,5.225,10,0.310808793,0.7,0.01,1.763,0.504,187.3,44.844,69.147,14.683,651.1,59.754,155.654,27.208
11,1500,0.3,5.225,10,0.310808793,0.7,0.04,4.834,0.54,222.3,19.1,38.11,5.604,675.5,75.887,117.642,16.045
12,1500,0.3,5.225,10,0.310808793,0.7,0.08,6.581,1.076,290.5,34.308,30.044,3.442,542,39.456,118.442,23.078
13,1500,0.3,5.225,10,0.310808793,0.7,0.1,8.148,0.855,307.9,41.868,27.155,4.074,536.9,46.051,114.534,18.273
14,1500,0.3,5.225,10,0.310808793,0.7,0.15,9.192,0.98,362.7,30.424,23.092,2.784,487.8,52.532,95.082,16.911
15,1500,0.3,5.225,10,0.310808793,0.7,0.2,10.083,0.966,419.1,26.991,20.981,2.508,403.1,53.097,82.961,13.742
16,1500,0.3,5.225,10,0.310808793,0.7,0.25,11.096,0.678,460.9,20.408,21.551,1.809,381.1,29.951,83.415,15.514
17,1500,0.3,5.225,10,0.310808793,0.7,0.3,11.844,1.174,522.5,25.414,20.484,1.989,302.3,34.851,72.989,8.147
18,1500,0.3,5.225,10,0.310808793,0.7,0.35,12.146,1.032,577.4,34.572,18.946,1.266,270,27.342,71.086,14.212
19,1500,0.3,5.225,10,0.310808793,0.7,0.4,12.666,1.177,609.4,15.743,18.27,1.488,232,23.507,75.947,9.237
0,1500,0.3,5.169,11,0.315361034,0.8,0.01,1.946,0.321,50.9,19.685,29.902,29.331,1328.6,76.77,96.697,33.875
1,1500,0.3,5.169,11,0.315361034,0.8,0.04,4.27,0.593,113.1,22.251,20.343,4.694,1150.6,67.574,90.374,17.865
2,1500,0.3,5.169,11,0.315361034,0.8,0.08,6.547,0.388,181.6,21.233,19.823,4.421,982.4,48.974,99.181,21.296
3,1500,0.3,5.169,11,0.315361034,0.8,0.1,7.818,1.33,209.2,21.913,18.675,3.063,908.6,39.386,92.99,14.784
4,1500,0.3,5.169,11,0.315361034,0.8,0.15,9.603,1.467,278.3,21.462,18.379,3.749,815.6,49.994,76.419,11.035
5,1500,0.3,5.169,11,0.315361034,0.8,0.2,10.235,0.915,352.4,19.896,18.668,1.965,694.9,47.425,82.807,21.596
6,1500,0.3,5.169,11,0.315361034,0.8,0.25,10.55,0.742,415.6,30.411,16.636,1.57,596.7,37.218,81.084,18.767
7,1500,0.3,5.169,11,0.315361034,0.8,0.3,12.258,0.726,465.9,18.338,18.1,1.138,522.7,28.061,73.586,7.792
8,1500,0.3,5.169,11,0.315361034,0.8,0.35,12.276,0.898,517.9,19.746,17.496,1.243,451,30.143,76.477,9.31
9,1500,0.3,5.169,11,0.315361034,0.8,0.4,12.988,1.181,570.6,17.483,16.713,1.824,395.9,37.471,67.78,11.134
10,1500,0.3,5.134,10,0.321731948,0.9,0.01,2.266,0.687,18.6,3.72,5.774,3.274,1469,7.629,21.032,7.626
11,1500,0.3,5.134,10,0.321731948,0.9,0.04,5.825,0.648,69.5,10.443,10.615,2.638,1355.5,30.461,61.649,32.597
12,1500,0.3,5.134,10,0.321731948,0.9,0.08,8.496,0.845,135.7,9.88,14.292,2.203,1203.8,25.202,70.224,17.695
13,1500,0.3,5.134,10,0.321731948,0.9,0.1,8.963,0.474,166.9,16.109,15.982,1.203,1160,41.653,54.246,14
14,1500,0.3,5.134,10,0.321731948,0.9,0.15,11.444,1.549,230.4,14.5,16.458,1.632,1047.9,40.138,56.905,7.826
15,1500,0.3,5.134,10,0.321731948,0.9,0.2,11.908,0.858,306.1,18.753,16.165,1.331,911.8,32.177,62.079,19.137
16,1500,0.3,5.134,10,0.321731948,0.9,0.25,12.757,0.877,364.9,22.98,16.197,1.235,804.8,25.833,59.544,6.619
17,1500,0.3,5.134,10,0.321731948,0.9,0.3,13.429,1.737,429.2,20.812,17.092,2.213,712.2,23.828,60.719,10.686
18,1500,0.3,5.134,10,0.321731948,0.9,0.35,14.299,1.606,474.7,20.323,17.208,1.664,628.4,36.006,67.052,12.781
19,1500,0.3,5.134,10,0.321731948,0.9,0.4,15.47,1.484,533.2,17.4,17.863,2.339,525.8,30.337,59.347,5.59
